epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,39.307,0.87908,0.47891,0.97647,0.93276,0.92236,0.96945,0.72903,0.96661,0.47792,1.01159,0.00016925,0.00016925,0.00016925
133,75.4546,0.86994,0.47448,0.97234,0.93202,0.9216,0.96992,0.72872,0.96035,0.47155,1.01007,0.000161,0.000161,0.000161
134,110.468,0.88366,0.4779,0.98043,0.92718,0.92776,0.97071,0.7323,0.95866,0.46864,1.01123,0.00015275,0.00015275,0.00015275
135,147.391,0.86378,0.46761,0.96742,0.92927,0.92102,0.96941,0.73204,0.96025,0.47112,1.01027,0.0001445,0.0001445,0.0001445
136,182.149,0.86484,0.46588,0.97188,0.93423,0.92177,0.96936,0.73113,0.95824,0.46965,1.00665,0.00013625,0.00013625,0.00013625
137,219.719,0.86408,0.46652,0.9696,0.93992,0.92205,0.96959,0.73378,0.95812,0.47055,1.00684,0.000128,0.000128,0.000128
138,254.46,0.86871,0.46913,0.97329,0.92975,0.92395,0.96975,0.73258,0.95653,0.46986,1.00757,0.00011975,0.00011975,0.00011975
139,290.154,0.86656,0.46971,0.96785,0.93374,0.91901,0.97001,0.73059,0.9601,0.47188,1.01083,0.0001115,0.0001115,0.0001115
140,325.19,0.8567,0.46596,0.96241,0.93136,0.91764,0.96764,0.72952,0.95704,0.47452,1.00897,0.00010325,0.00010325,0.00010325
141,361.464,0.8662,0.45278,0.97578,0.93773,0.91416,0.96583,0.72427,0.97194,0.48606,1.01462,9.5e-05,9.5e-05,9.5e-05
142,394.58,0.85417,0.4393,0.96728,0.93705,0.91317,0.96655,0.72456,0.96808,0.4833,1.01292,8.675e-05,8.675e-05,8.675e-05
143,427.775,0.85092,0.43949,0.96543,0.93939,0.91516,0.96815,0.72808,0.96453,0.48156,1.0128,7.85e-05,7.85e-05,7.85e-05
144,462.177,0.84589,0.43304,0.96259,0.9372,0.92437,0.96911,0.72718,0.96508,0.47851,1.01167,7.025e-05,7.025e-05,7.025e-05
145,496.778,0.84034,0.43345,0.96147,0.93737,0.92112,0.96932,0.72952,0.96285,0.47635,1.0109,6.2e-05,6.2e-05,6.2e-05
146,530.182,0.84633,0.43065,0.96598,0.93186,0.92418,0.96905,0.72964,0.9611,0.47589,1.0097,5.375e-05,5.375e-05,5.375e-05
147,563.441,0.83174,0.42845,0.957,0.93181,0.9264,0.97048,0.73165,0.95817,0.47157,1.00866,4.55e-05,4.55e-05,4.55e-05
148,596.617,0.83236,0.42639,0.95786,0.92778,0.93319,0.96963,0.72953,0.96034,0.47342,1.00986,3.725e-05,3.725e-05,3.725e-05
149,630.286,0.83088,0.4291,0.95728,0.93862,0.91883,0.96994,0.73167,0.9579,0.47229,1.00909,2.9e-05,2.9e-05,2.9e-05
150,664.173,0.83172,0.42407,0.95644,0.92888,0.92705,0.96913,0.73043,0.95763,0.47256,1.00897,2.075e-05,2.075e-05,2.075e-05
